,content,label
10057,ㅋ....할말이 없네영,1
13477,자주 사용하는 계좌를 우선 순위로 변경할 수 있도록 해 주셨으면 합니다.,1
786,너무좋게사용하고있었는데 갑자기 오류가 뜨더니 접속이안되서 삭제했다가 다시 설치하려고했는데 이젠 설치자체도 안되요 계속 대기중으로만뜨고 설치가안되는데 왜그러는거죠?,0
7683,카카오뱅크....최고...♥,1
7011,잘되어있네요,1
8905,좋음,1
15298,어플 처음에 카카오 계정이나 핸드폰 번호로 시작할 때 둘 다 오류가 떠서 시작도 못합니다. 기종 A5 쓰고 있습니다.,0
15016,쵝오 일단 써보면 압니다^^,1
13849,열린 첫날 신청했고 제일먼저 카드를 받았습니다 지금까지 써본결과 매우 만족이네요 카카오톡 송금하기에 카뱅도 추가해주셨음 좋겠습니다. 친구한테 장난삼아 소액보내고 놀고있네요 ㅋㅋㅋ,1
10743,편해요,1
6008,편해서 좋네요,1
10688,굳,1
809,"정말로 편하고 좋아요.. 다만 체크카드에 대한 혜택이 불필요하거나 쓸데없고, 일빈키드에비해서 혜택이 작다보니 안써지게되서 안타깝네요..",1
16855,간단하네요ㅡ ...,1
5297,보가는 편하네요..,1
3657,편리하고 좋아요,1
7696,좋아요^^,1
7346,ㅌㅁㅁㅁㅋㅁㅁㅁㅁㅈ2ㅁㅁ큠2ㅁㅁㅂㅁㅁㅂㅁㅁㅂㅁㅋ,0
5606,탈퇴 어떻게 합니까? 남성의 목소리만 듣는 기업 불매하겠습니다. 이모티콘 논란 관련 선택적 피드백으로 인한 기업 이미지 하락이 이유입니다.,0
8523,좋다요,1
7465,앺사용설명상세게해주세요,1
16613,간편하구 편리해서 너무좋아요,1
1889,"50대 후반인데요,사용하기 쉬어서 잘 사용하고 있습니다. 카카오뱅크~최고!!!",1
6838,임급은행이 서비스 초과됐다는데 해결해주세요,0
5064,아주 편리한 카카오뱅크 짱!,1
3535,편하고 굿입니다.,1
13666,몇달 지나서 다시만들려하니까 이제는 한국에 살지도 않은 사람으로취급하네  더러워서 안쓴다;,0
1450,본인명의폰이 아니면 계좌개설 못해서 사용하고 싶어도 못하네요. 모임통장때문에 만들어야하는데 ... 케이뱅크도 공인인증으로 되는데.... 불편하네요,0
4315,쏠쏠한 저금 아이템이 될 것 같네요 ^~^,1
5066,다른은행보다 간편하고 좋아요!!,1
13534,고객센터나 카톡문의 제발 쫌 빠른 응대 부탁함. 속뒤비지겠네.. 전화로하면 10분넘도록 연결계속안되서 내가 지쳐 끊고.. 1:1문의 톡으로하면 더럽게 대답안함...하...스트레스..,0
13309,좋아요,1
16588,상담원이 1명인듯 상담원연결까지 전화걸고 수화기들고 30분 기다려야하고 일대일문의 일주일 기다려야함 그래서 탈퇴함,0
473,최악이에요. 안드로이드 5.0이하에서 오류 난거라 재설치 하고 점금화면도 핀번호로 바꿔야 하도 기기변경을 신청한다음 신분등 촬영해서 인증 받으라네요. 해지도 앱에서만되니까 이더 다 하고 앱깔고 해지하라고요. 간편하게 이용하려고 카카오 뱅크 이용 했더니 더 번거롭게하고 핸드폰도 내 맘대로 못쓰네,0
5327,기업이미지 관리좀 잘해주세요,0
13137,esay & simple is good~~,1
3839,편하고 완전 좋음,1
6607,다운 안되는 이유 뭐임?,0
15122,감사,1
17271,좋아요,1
8991,굿굿,1
3540,편리하고 좋아요,1
9581,좋음,1
13014,카뱅 최고다!!! 게임 for kakao 에서 안좋았던 이미지 만큼 뱅크는 쩐다!!!,1
11911,신분증 찍다가 허파 터질뻔. 앞글 리뷰를 보니 이해가 되네요. Lg Q7+호환이 안되나봐요,0
12105,👍,1
11710,굿,1
10709,좋아요,1
8045,난로 다닌ㅡ느,0
41,"예전에 만든계좌 비밀번호,패턴 모두 잊어버려서 본인인증 다하고 신분증 사진도 인증 다 했는데 마지막에 영상통화를 해야한다해서 3번씩이나 요청을 했는데 인증도 안들어오고 아무런 조치가 없네요 이건 그냥 뭐 쓰지말라는건가요? 일부러 고객센터 업무시간에도 인증요청을 했는데 아무런 조치가 없네요^^",0
16976,간편하네요 ㅎ,1
11773,왜 에러가 뜨죠 아무것도 실행이 안되요..,0
15774,한글검색도 안되는건 그렇다 칩시다 앱 첫 실행하자마자 오류........안해,0
5224,간편간편..최고!,1
12186,최고,1
6292,정말 간편하네요,1
14843,미성년자는 카드도 없나요? 체크카드들고다니는 애들도 많은데 왜 미자는 안된다고 하는 겁니까 어이가 없어서;;,0
13781,카드가 반송되엇는데 다시 받고 싶은데 상담연결도 안되는데 어케하죠??,0
888,갤럭시 S10 루팅 기기 인식 오류 저만 이런 게 아닌 것 같은데 빨리 좀 고쳐주세요. 카뱅 개발팀이 업데이트 잘못 한 거 아니에요?,0
13018,카카오계좌를 만드려고하는데 실명인증이 안됩니다...어떻게해야하나요...,0
15288,출시일 맞출 필요 없으니깐 제대로 된 어플을 만들어야 된다고 생각합니다.,0
4918,자꾸 USIM 인식이 되지않아요...,1
6189,고객상대로 이벤트랍시고 낚시질하네 1초만에 마감?ㅋㅋㅋㅋ 니네한테 맡겨둔 예금 다 뺄거니까 접속이나 복구해라 졷카오 명성 어디 안가지,0
13507,아니 무슨 들어갈때마다 인증을 다시합니까? 거기다 핸드폰 인증요청도 오류라고 되지도않네요,0
11060,좋아요,1
6349,댓삭하지마 메갈 확실하게 조져라,0
12255,너무 심플하고 간결한 디자인.. 복잡하지 않은 금융.. 좋습니다.,1
8923,좋아요,1
6907,카카오뱅크 최고!!,1
10054,Good,1
16332,진짜 비추임. 비밀번호 잊었을때 다시 찾는게 너무 고역임.완전 최악,0
2861,쉽고 편해서 너무 좋아욥,1
8532,고마워요,1
8202,굿,1
7861,닥치고 카카오뱅크!,1
13468,기기변경이되서사진찍으라해놓고 사진도 안찍어지고..ㅠ,0
14355,장난하는것도아니고 입출금통장 개설하고 은행 엽얼일20일이지낫는데도 왜 통장개설을못한다고뜨는거죠?어플참 어리버리까네여;;,0
12717,왜  개설하려고하는데 1원을 보내주지않나요 저녁부터 아침까지 1원을안보내줘서 개설을 못하네요,0
7252,최고 뱅킹앱,1
12964,해외로 와서 생활하게 되면서 유심칩을 해외 현지 유심으로 바꿔서 번호가 바뀌게 되었습니다. 기존 사용자인 경우 기기 변경으로 다시 인증을 하라는데 인증 수단이 문자 메시지를 받아야 한답니다. 그런데 문자 인증은 국내 번호로 밖에 안되는 것 같습니다. 해외사용자는 어떻게 다시 인증을 해서 쓸 수 있나요?,1
6312,후속조치 제대로 해주세요,0
10036,좋네,1
5752,신분증인증 개등신같음,0
14105,사람 많다는건 핑계지 하다못해 순번 부여라도 해서 서비스를 제공해야하는것을 제1금융이라는 타이틀 내걸고 은행장사하는 인간들 하는 짓이 누가누가 될까요 이런 행태니 어이가없다,0
3712,요새 계속 온갖 오류뜸,0
7377,은행앱 중 제일 낫네요!,1
6316,논란 덕분에 잘 쓰지도 않던거 삭제합니다,0
8414,좋아요.,1
12931,어처구니가 없습니다. 업데이트 후 접속이 안되서  문의하니 기기변경을 하라고 합니다. 제가 현재 쓰는 폰이 갤3라 안되는 것이라고 합니다. 정말 말이 안됩니다. 은행에서 사람가려가며 돈 받습니까? 컴퓨터 일정사양 안되면 인터넷뱅킹 못합니까? 종이통장도 없어 내역 확인도 어려운데 정말 무책임합니다. 주변사람들에게 쓰지 말라고 할겁니다.,0
7895,손모양 해명하시죠,0
1744,수수료도 없고 모든 시스템이 편리함,1
672,잘 쓰고 있습니다. 그런데 mini카드를 쓰고 있고 버스비를 충전했는데 저번에 카드가 안 찍혀서 정말 곤란했는데 어떻게 해야 하나요,0
10255,최고!!!!,1
13715,베시놋 쓰는데 잔고 확인으로 로그인 할때마다 OS 바꾸라고 하고 비번 설정해도 계속 설정하라고 뜨고 기기바꾼적 없는데 기기변경으로 인증하라고 뜨고 에러 천지 다른 은행 x같아서 카뱅 쓰지만 에러좀 잡아주시죠?,0
282,좋아요^^ 사용할때마다 카톡으로 알려주고 이체하는 부분이 편해서 자주 사용중이에요 근데 업뎃하고 나서 카톡알림오는 부분이 출금부분만 나오고 잔액은 안나오는데 수정된건가요? 이부분이 불편한데 다시 나오게 할순없나요?,1
10134,좋아요,1
13008,내 손안에 은행있다 ㅋ,1
17397,좋음,1
886,비밀번호 재등록하라는데 자꾸 다른기기로 접근했다고 해서 원래 기기로도 해봤는데 안되네요 어떻게 해야 되나요..,0
13370,편리하고 좋아요..,1
17437,조아조아,1
6717,말안해도 이유 알거라고 생각합니다.,0
6233,최고로 편함,1
5007,수수료가 없어서 좋아요,1
9120,굿,1
283,"계좌 신설하는데 최악이네요. 본인인증을 위해 영상 전화, 또는 타계좌 이용 선택창에서 잘못선택해서 돌아가려해도 돌아가지지않고 아예 신청 자체를 해지해보려해도 실질적으로 30일간 멍때리고있어야된다는점이 맘에 안듭니다.",0
2438,좋아용 좋아요,1
5305,설치하라고 문자하지마세요 사용않함,0
5970,좋아요를 나 오늘 너무 많이 신나요,1
6070,카카오페이지 이벤트 마감 신용등급 평가해도 지급없음 슈밤,0
10836,굿,1
14112,번가롭지않을거 같아서 좋아요,1
6452,아니 무슨 본인인증하라해서 하는데 계속 틀리다고하네 니가 나를 알아? 맞게쓰는데도 안되면 어쩌라고 열받네 ㅋ~,0
115,앱에서 업데이트하라고 계속알림오길래 플레이스토어 와봤더니 업데이트가 없네? 뭐 싸우자는거?,0
9607,좋아요,1
12330,은행을 안 가도 되고 무엇이든 폰으로 할 수 있다는것에 정말 좋네요!,1
17294,굿,1
4826,"사태일으킨 메갈1련 고소안하면, 카카오의 모든 자회사로 불매운동 계속 할거임!",0
14486,이럴려면 준비를 더 하고 출시했어야지,0
1391,아니 ㅋㅋㅋㅋ 인증번호 5회 오류나서 청소년증 발급받고 인증하려는데 계속 실패해서 통화를 하려는데 인증번호 적오도 5회 오류라면서 통화 못하게하는데 ㅋㅋㅋㅋㅋ 그럼 어디에다 통화를 해야하죠?,0
11064,좋아요,1
11560,좋아요,1
6793,혁신 이 두글자면 답이 된다,1
11635,좋아,1
16610,카카오페이 될 수 있게 해주시면 더 좋을거 같네요.,1
12343,너무좋아요 잘쓰고잇네요,1
5137,디자인한 페미 짤라라 안 그러면 다른 걸로 갈아탑니다,0
2176,너무 편하고 좋아요 신용카드도 나왔으면 좋겠어요,1
4562,5프로 예금 이벤트..땡하자마자 100억 마감. 한도가 있긴했었나 의심스럽네요.,0
14922,기존은행들이 알바풀엇네,1
12381,카카오! 싸랑해요^^,1
10950,좋음,1
16642,간편  이체수수료 당분간 무료,1
9958,굿,1
659,재가 미니카드신청을하려고 로그인을하는대 이전이력이 있다고 해서요... 저는 예전에 카뱅을쓴 기억이 없어서요.. 해결해주세요 미니카드만들고싶어서 영상통화 등록까지 해도 않된다내욤!!😡,0
2081,카뱅앱 종료하면 v3 좀 끄게 만드세요 이런 기본기능 하나 구현 안하고 뭐합니까,0
313,항상 잘 쓰고 있어요! 5주년 축하합니다^^,1
5509,좋습니다 빨리 1급융되기를..,1
4442,모바일 otp는 추가할 계획이 없는 건가요? 그냥 다른 은행 써야되나..,0
17529,메갋뱅크,0
14662,몇 번이나 다시 깔았는데 키기만 하면 인증서 저장소 비밀번호를 입력하라고 뜨네요..다른분은 안그러시는것같은데..설정 들어가서 모든 인증서를 삭제했는데도 불구하고 자꾸 떠요..빨리 이용하고 싶네요,0
2443,수수료가없어서 사용하는데 편하고 좋아요,1
7241,위젯 만들어주세요,1
8589,역시 최고,1
14028,아니 카드 비밀번호 3회오류로 바꾸러고하는데 내카드에 개별카드관리가 없어요...,0
17164,굳,1
4586,메갈 광고는 대체 멉니까?,0
13690,상담원이 연결이 2틀동안안됨 이거 못쓰는 어플입니다,0
14705,고객상담이 너무원활하지 않은것에 대해서 조치를 취하면좋을거같네요..,0
14180,번창하시길,1
15871,이놈의 오류.. 내일 해야겠다.. 주민번호 치다가 손가락 쥐나겠음,0
10858,편합니다,1
7427,내 주거래통장!!,1
8796,노현신,1
2262,송금 실수없이 할수있고 돈가져오기 너무좋아요,1
14460,휴대폰 2년넘게 안바꾸고 있는데 갑자기 기기가 변경됐다고 기기변경 인증하라고 하네요 왜이런거죠,0
12539,대출신청다했는데 취소되고 첨부터다시하라네..말로만앱상대출이고 팩스로서류보내고다했더만...고객센터나몰라라 앱개선이나하길,0
9024,스마트함,1
14223,"대출 메뉴 대기순번 좀 만들어주세요. 대출 결과가 나왔는데 조회하려고 하루에도 수백번씩 눌러도 이용자가 많다며 조회가 안됩니다. 계약을 28일까지 하라는데 이 꼬라지면 계약도 못하고 신용조회만 한 꼴이 되어버리는데, 로그인 유지한 사람 기준으로 대기순번 줘버리면 문제 해결 아닌가요? 괜히 시간 날려가며 여러번 조회 눌러서 사용자도 힘들고 서버 트래픽도 늘어나서 힘들 거 같은데  아니면 최소한 대출 조회 결과 볼 때 진행하겠냐고 물어보는 거라도 없애주시던지요. 간신히 되나 싶었더니 진행하냐고 물어보고 진행하기 누르면 또 사람 많다고 튕기는데 이걸 작정하고 사용자 튕겨내려고 만든 게 아니면 뭡니까?",0
2366,빠르고 편리해서 좋아요,1
3443,디자이너 잘 뽑으신거 같아서 안쓰려구요,0
13198,"편합니다. 저는 개인적으로 해외송금이 잦은 편인데 환율, 수수료 다 최고네요. 계좌 추가개설을 통해 여유자금 관리하기 편리한 것도 장점. 은행도 점차 진화한다는 실감이 드는 앱입니다.",1
11441,괜찮음,1
5477,굿굿 잘 어울리는 우리,1
2332,사용하기가 편합니다,1
7619,편리해요,1
12374,지문인식이 안됩니다.,1
10238,짱,1
5078,편하고 좋네요!,1
11698,호잇,1
7099,뱅크샐러드 연동해주세요,1
15622,이건뭐 쓰레기네.. 설치 후 들어가져야 가입이라도 하지..앱이 쓰레기다,0
3612,레노버 z5기종에서 v3인터페이스 오류라고 나오는데 해결방법이 없을까요ㅜㅜ?. .,0
3491,다 좋은데 세이프박스 돈 넣을때 단위가 10만원이 아닌 오만원이나 3만원 단위 로 변경 안될까요???,1
16698,편리해요~이체하기 편하고 넘 유용해요~자주 이용할듯~,1
62,26주 적금 원하는 캐릭터 선택할 수 있게 해주시고 통장내역 불필요한 거 개인이 삭제할 수 있었으면 좋겠어요..! 그 외엔 너무 편하게 쓰고있답니다 26주 적금 원하는 캐릭터 선택할 수 있으면 너무 좋을 거 같아요 이왕에 모으는 거 좋아하는 캐릭터 보면 동기부여되지 않을까요ㅠㅜ랜덤이라 슬퍼요 그리고 한도제한을 풀 때 제출 서류 폭이 넓어졌으면 좋겠어요,1
9302,배리굿,1
6212,업데이트안됩니다,0
15821,아니 왜 어플을 실행하면 5초를 못넘기고 종료가 되냐고!!!!!,0
7565,참여 부탁드립니다,1
1250,안드로이드 12 업데이트 후 실행 안되고 팅김 한 달 넘게 해결이 안 됨,0
7890,사용하기편해요,1
5104,편리하고 좋습니다,1
4371,카카오 미니로는 이모티콘 못사나요?? 제 첫카드인데 이걸로 이모티콘 사고싶어서요!,1
13499,사용 편리하고 좋은데 지금 계속 일시적 문제가 발생했다며 접속이 안돼요! 빨리 조치좀 해주세요...,1
244,모임통장 너무 편합니다. 따로 정리할것도없고 사용내역모두 모임회원들이 언제든 확인할수있고 완전 강추입니다. ^^,1
16681,폰의 내명의가 아니라 안됀당;;,0
17225,굿,1
9041,굿,1
11437,편해서좋아여,1
10952,조아요,1
16142,? 남은,1
8332,깔끔!,1
17327,좋아요,1
2172,도랏나 신분증 촬영할 때 소리 왜 남 무음으로 해뒀는데;; ㅡㅡ 독서실에서 하다가 깜짝 놀랐네ㅡㅡ,0
11876,굿 초이스,1
15635,오류무제한. 상담원연결도안됨,0
16568,NH농협카드 등록하려는데 뭔 위변조카드라고 합니까? 등록조차도 안되고 다른 카드 하려해도 안되는데;,0
1641,이체수수료도 없고 진짜 편리하고 최고입니다,1
17261,좋네요,1
5422,넘좋와요. 넘버원,1
1296,수수료 공제도 되고 다양한 상품이 있어 너무 만족합니다^^,1
11883,움청좋은데,1
3127,고객층을 반으로 갈라 그 반을 전부 성기를 자르고 죽여야 한다는 특정 혐오성향에 대해 여타 필터링 없이 공식블로그에 홍보물을 올림으로써 지지한다는것을 보여주셨군요? 개인적으로 특정 혐오가 만연한 성향을 지지하는건 상관없습니다만 대외홍보물에 공식적으로 사용하는건 선을 넘었지요. 이번 거래가 끝나면 계좌 해지하겠습니다. 특정 성향 끌어안고 특정 성별 혐오하면서 잘 살아들 보세요.,0
4242,다양한 송금이 편하네요,1
7050,좋아요 추천합니다,1
16646,잘 쓰겠습니다 유용하게,1
11639,만족,1
5367,4일까지라드만 지금은왜신분증제출안되는데요,0
9687,Good~!!!,1
16139,실행조차  안된다고 관리자 보고있나?,0
808,고객센터에서는 할줄아는것도없고 무슨 연결도다안된다거하고 연락이나 잘되던가 영상통화도 안되고 내핸드폰에는 차단도없고 다없는데 다시깔아라 껏다커랴 고객센터에서 해주면안되냐니까 지들은 할수있는게 없다고하고 그럼고객센터는 왜있는건데?,0
12339,편리하고 좋아요. 타은행 보다 이율도 훨씬 좋구요^^,1
16630,기대를 넘어 희망입니다,1
2027,수수료도없고 너무편리해요 잘쓰고있습니다!!,1
1032,인터넷이라 안심못하시는분들도 많으신데 일반적인 은행보다 편리하고 좋은거같네요,1
13889,고객센터 통화하기가 너무 힘듬..세금우대 한도 설정때문에 여러번 통화시도 했는데..통화 때마다 대기자가 30명정도 끝내 못함..적금넣기 너무 힘들다....개선 필요함..,0
5818,완젼편합니다.,1
8607,편함,1
10026,편합니다.,1
16499,주민등록번호를 입력하라는데 입력을해도 다음으로 넘어가지 못하고 제자리 걸음만한다,0
9442,개꿀!,1
11139,굿,1
11821,"요즘들어 갑자기 램 사용량이 치솟으면서 앱이 먹통이 되네요. 제 휴대폰이 문제인지 앱이 문제인지는 모르겠는데 예전에는 안그랬는데 요즘 
갑자기 그러네요.",1
9730,굳,1
9780,편리함,1
3922,너무 좋아 너무 편해,1
17481,카카오뱅크 과연,1
2659,간편해서 좋고 수수료가없어 더 좋네요,1
654,요즘 앱이 아예 켜지지 않아요. 검은화면만 뜨고 제가 언젠가 켜지겠지 하고 밥하고 먹고 기다렸는데도 검은화면 입니다. 이용할 수 있도록 해주세요.,0
15812,기대됩니다. 대한민국 최고의 인뱅이되길..,1
9892,아주편함,1
16946,너무 편하고 좋아요,1
5849,계좌순서 변경이되었으면좋겠습니다,1
15927,인증에오류생겼다고처음부터다시하라는데처음부터다시하는건없고이어서만들기뿐이고톡상담은연결도안되고어쩌라는건지모르겠습니다,0
7028,해명좀해보시지..다음카카오야,0
3510,그렇게 홍보 해 놓고 외국인은 가입 안되고. 외국인은 사람 아니라는건가? 카카오 뱅크 다신 사용 안해,0
5961,설치가 안되는데 왜 이러나요?,1
7907,돈안주잖아 사기꾼들아ㅜㅜ이벤트머냐 신상팔이냐,0
17411,좋아요,1
16964,좋아요.,1
4554,다운받아도 쓸수가없네요 자꾸팅깁니다,0
17209,좋음,1
8204,좋아요,1
7467,최고입니다^^,1
14173,딘노래는 어떻게 다운받아요 ㅋㅋ?,0
11115,완전좋음,1
9047,Sanghyunkim 김상현,1
16859,아니 주민등록번호가맞는데 왜안되죠?.,0
6985,계좌1원안증 4글자인데 6글자로와요,0
14282,실명확인이 안되요 계좌 만들려는데 제 주민번호랑 이름을 쳤는데 지금 15번째 잘못됬다네요;;ㅋㅋ 제가 제 주민번호를 모를리가 있나요; 자꾸 오류라 뜨는데 어떡해 해야해요,0
11155,굿,1
15628,카드디자인 선택하는거 없네요 라이언밖에 안뜨는데 왜이런가요...8ㅅ8,0
8314,좋아요,1
683,좋아요 인터페이스부터 간편성 모든 게 다 편리하네요 얼마전꺼지만해도 주로 결제하던 곳에서 카카오뱅크가 안됐어서 불편했지만 재금은 다 되네요 ㅎㅎ,1
1812,V3깔기 싫은데 안깔고 할수있는 방법도 없는건가요? 잘쓰다가 V3를 왜 강제적으로 깔고 사용해야하나요?,0
16279,안열림,0
11292,good,1
12943,어제부터 재설치 반복했으나 아직도 사용불가... 로그인도 안됨...,0
10074,너무편리합니다,1
13853,"글로벌 시대에 뒤쳐지는 우리나라의 은행업에 시원하게 찬물을 끼얹으면서 ""똑바로 좀 하자!""라고 한 자리 파고 드는 과감한 사업마인드의 은행. 아직 서비스 안착이 안되었지만 금리와 편의가 앞서고 있기에 은행이라는 본질적 가치에서 경쟁우위인게 사실. 아직도 기존의 거래방식이 편하다는 이유만으로 이 앱이 불편하다면 그것은 개인의 판단이지만 자신의 돈에 대한 계산은 배제되었으며 시대적 판단이 뒤쳐지는 것이라 보임. 개발자 형, 누나들 힘내요! 대출 땡큐!",1
10494,좋아요,1
15410,신분증 30번을 찍어도 안된다고 하네 짜증,0
10155,좋아요,1
7335,최고입니다 ^^,1
6266,무인 은행 좋은것 같아요,1
15814,계정 개설단계에서  앗!문제가 발생했다네요.,0
12595,"계좌개설이 안 됩니다.. 해외폰 번호로 등록이 되어있는지라 국내폰으로 인증을 하려해도 되질 않고, 고객센터도 개설전엔 응대할 수 있는 곳 자체를 만들어 놓지 않았네요~",0
1564,너무편리하고좋아요! 모든수수료도 무료라서 정말좋아요,1
11164,짱!,1
4117,컴맹인저두사용하기가 매우수월햇어요,1
16750,v3 설치만 아니었어도..... 아쉽네요,0
14667,최악이네요 세번지우고 다시설치했는데 계속 중지되었다고 뜸. 실행도 안되는 어플을 왜만드셨나요  추가 이제는 인증서 저장소 비밀번호입력하라고 뜨면서 실행이 안되네요....,0
11895,좋아요,1
8194,좋아요,1
5038,바로바로 금액 저축 가능,1
11550,굿,1
9642,은행업무,1
14231,낮에 고객문의 전화했더니 이용자 많다고 상담원 연결 안해줘서 문의 글로 남겼더니 접수 완료됐다고만 뜨고 거기에 대해서 답변온건 하나도 없고 빡쳐서 저녁에 다시 전화했더니 또다시 이용자 많다고 상담원 연결 안되고 카카오톡으로 문의글 남기니까 계속 이용자많다는 글만 보내네요.  진짜 고객문의 시스템 최악입니다.   계좌 해지하려고 신분증 인증하고 영상통화 인증하고났더니 갑자기 아무설명도 없이 다 종료되고 계좌는 아직도 남아있고 이게 지금 해지되고 있는지도 모르겠고..  계좌 해지 시 글로 된 설명 좀 보충하셔야겠습니다.  영상통화하면서 상담원이 뭐라고 자기할말하고 바로뚝 끊어버려서 뭐라 말했는지 알아듣지도못했고 당연히 기억도안납니다.,0
12273,최고시다,1
14346,도대체 서비스를 하겠다는건지 말겠다는건지 욕나옴,0
6488,운영자님 카카오뱅크에서 카카오페이 체크카드도 연동이 되나요?,1
6433,스마트출금QR이불편해요ㅠㅠ,0
11900,Good!,1
4486,잘사용 하고있습니다 ^^,1
5117,사용하기 너무 편함,1
16182,좋네요  ~~,1
8009,긋 조아용조아,1
16157,세계를  향하여,1
17532,메갈,0
1366,카카오뱅크에 건의합니다 낸사람 안낸사람 체크하기 위해 모임통장사용하고 있는데 특정날짜만 입금현황을 볼 수 있게도 만들어주세요 지금현재는 누적 또는 이번달 입금현황을 볼 수 있게하는데 달에 두번이상 모임이 있는 경우나 공지 이후로 입금을 받을때 낸사람을 체크하려면 특정 날짜 입금현황을 볼 수 있게 하면 좋을 것 같습니다,1
8758,굿,1
3232,수수료 없어서 너무 좋아요.,1
17130,♡,1
11634,좋아요,1
8919,좋습니다,1
12924,짱 편해요,1
2016,아주 편리하고 간단해서 좋으네요^^,1
16591,무궁한 발전을 기원합시다.,1
13524,다 좋은데 체크카드 발급 기간 조금만 더 줄여주세요,1
5539,매갈카뱅. 탈퇴좀 쉽게합시다..,0
17380,좋아요,1
